buyer_name_raw,buyer_name_canonical
DEPARTMENTAL NUCLEAR COMPANY LIMITED,DEPARTMENTAL NUCLEAR COMPANY LIMITED
West Midlands Combined Authority,West Midlands Combined Authority
WEST MIDLANDS COMBINED AUTHORITY,West Midlands Combined Authority
Stroud District Council,Stroud District Council
Home Office,Home Office
Royal Holloway and Bedford New College,Royal Holloway and Bedford New College
Wychavon District Council,Wychavon District Council
Balfour Beatty VINCI JV HS2,Balfour Beatty VINCI JV HS2
South Gloucestershire Council,South Gloucestershire Council
Islington,Islington
Hertfordshire Partnership University NHS Foundation Trust,Hertfordshire Partnership University NHS Foundation Trust
East Hampshire District Council,East Hampshire District Council
London Borough of Merton,London Borough of Merton
KENT COUNTY COUNCIL,KENT COUNTY COUNCIL
Mace Dragados,Mace Dragados
SOUTHERN HOUSING,SOUTHERN HOUSING
Quorn Parish Council,Quorn Parish Council
"Eiffage Kier JV HS2 Main Civils Works, Lots C2 & C3","Eiffage Kier JV HS2 Main Civils Works, Lots C2 & C3"
East Suffolk Council,East Suffolk Council
Division,Division
SKANSKA CONSTRUCTION UK LIMITED,SKANSKA CONSTRUCTION UK LIMITED
BENSON PARISH COUNCIL,BENSON PARISH COUNCIL
Binfield Parish Council,BENSON PARISH COUNCIL
London Borough of Hackney,London Borough of Hackney
London Borough of Hounslow,London Borough of Hackney
London Borough of Hillingdon,London Borough of Hackney
London Borough of Harrow,London Borough of Hackney
LONDON BOROUGH OF HAVERING,London Borough of Hackney
Wembury Parish Council,Wembury Parish Council
Wickham Parish Council,Wembury Parish Council
City of Doncaster Council,City of Doncaster Council
Bournemouth Christchurch and Poole Council,Bournemouth Christchurch and Poole Council
Blackpool Council,Blackpool Council
Bury College,Blackpool Council
CITY OF YORK COUNCIL,CITY OF YORK COUNCIL
ACTION FOR CHILDREN,ACTION FOR CHILDREN
UK Atomic Energy Authority,UK Atomic Energy Authority
Peabody trust,Peabody trust
Peabody Trust,Peabody trust
BBC - Highways,BBC - Highways
Cornwall Wildlife Trust,Cornwall Wildlife Trust
Lee Valley Regional Park Authority,Lee Valley Regional Park Authority
Blackpool and the Fylde College,Blackpool and the Fylde College
Mid Devon District Council,Mid Devon District Council
Harpenden Town Council,Harpenden Town Council
Aspire Housing,Aspire Housing
COOPER & HALL LTD,COOPER & HALL LTD
Adur District Council / Worthing Borough Council,Adur District Council / Worthing Borough Council
Vico Homes Ltd,Vico Homes Ltd
Wiltshire Council,Wiltshire Council
Wigan Council,Wiltshire Council
capitalEsourcing,capitalEsourcing
Endeavour MAT,Endeavour MAT
Scape Group Limited (trading as SCAPE),Scape Group Limited (trading as SCAPE)
Oxford City Council,Oxford City Council
Oxfordshire County Council,Oxford City Council
University of Bath,University of Bath
Walsall Council e-Tendering,Walsall Council e-Tendering
Cheshire College South and West,Cheshire College South and West
Bath Demolition,Bath Demolition
Surrey Heath Borough Council,Surrey Heath Borough Council
MCA - Maritime and Coastguard Agency,MCA - Maritime and Coastguard Agency
NRS Dounreay,NRS Dounreay
East & North Hertfordshire NHS Trust,East & North Hertfordshire NHS Trust
East and North Hertfordshire NHS Trust,East & North Hertfordshire NHS Trust
Cheshire west and Chester Borough Council,Cheshire west and Chester Borough Council
ELECTRICITY NORTH WEST LIMITED,ELECTRICITY NORTH WEST LIMITED
HM Government of Gibraltar,HM Government of Gibraltar
HEALTH SCIENCES UNIVERSITY,HEALTH SCIENCES UNIVERSITY
ST OSYTH PRIORY & PARISH TRUST,ST OSYTH PRIORY & PARISH TRUST
QE FACILITIES LIMITED,QE FACILITIES LIMITED
Coventry City Council (COV),Coventry City Council (COV)
UNIVERSITY OF ESSEX,UNIVERSITY OF ESSEX
Raunds Town Council,Raunds Town Council
NHS PROPERTY SERVICES LIMITED,NHS PROPERTY SERVICES LIMITED
Moat Homes Limited,Moat Homes Limited
Nuclear Waste Services Limited,Nuclear Waste Services Limited
Launceston Town Hall,Launceston Town Hall
North York Moors National Park Authority,North York Moors National Park Authority
Barnet Homes Ltd,Barnet Homes Ltd
Wirral Borough Council,Wirral Borough Council
Wokingham Borough Council,Wirral Borough Council
Wandsworth Borough Council,Wirral Borough Council
Partners Procurement Service (PPS),Partners Procurement Service (PPS)
Ferrovial Construction UK Ltd,Ferrovial Construction UK Ltd
City Of Sunderland,City Of Sunderland
